iteration,energy
0,15.638563688976365
1,-1.0446154411082325
2,-7.6467754484885875
3,-10.789717443412371
4,-12.461002550765109
5,-13.40965268462447
6,-13.971275374854955
7,-14.31278422771118
8,-14.523510843354911
9,-14.65395239021328
10,-14.73387781044499
11,-14.78142226053372
12,-14.80792406473541
13,-14.82061943915097
14,-14.824202222572183
15,-14.821755847404201
16,-14.815325272161935
17,-14.806275943550553
18,-14.795523403013867
19,-14.783682514898441
20,-14.771165759853806
21,-14.758248701422165
22,-14.745113986733855
23,-14.731881135012596
24,-14.718626816805017
25,-14.705398714177154
26,-14.692225016232202
27,-14.679120929458488
28,-14.666093137250407
29,-14.65314284603827
30,-14.640267855519026
31,-14.627463954702343
32,-14.614725852616576
33,-14.602047788609491
34,-14.58942392297746
35,-14.576848577960856
36,-14.564316377761411
37,-14.551822321310393
38,-14.53936181108394
39,-14.526930653967543
40,-14.51452504507709
41,-14.502141541890438
42,-14.489777033575198
43,-14.477428708688896
44,-14.465094023254967
45,-14.452770670417392
46,-14.440456552339118
47,-14.42814975465347
48,-14.415848523547638
49,-14.403551245413825
50,-14.391256428919725
51,-14.378962689303936
52,-14.366668734683735
53,-14.354373354159748
54,-14.342075407510182
55,-14.329773816280538
56,-14.317467556092081
57,-14.305155650009292
58,-14.29283716282559
59,-14.280511196141743
60,-14.268176884128787
61,-14.25583338988012
62,-14.243479902271085
63,-14.231115633255222
64,-14.218739815535937
65,-14.206351700562212
66,-14.193950556802548
67,-14.181535668259832
68,-14.169106333193781
69,-14.156661863023363
70,-14.144201581385309
71,-14.131724823328227
72,-14.119230934625424
73,-14.1067192711912
74,-14.094189198588326
75,-14.081640091615775
76,-14.069071333967848
77,-14.056482317956554
78,-14.043872444290965
79,-14.031241121907282
80,-14.018587767845688
81,-14.005911807168946
82,-13.993212672919684
83,-13.980489806113393
84,-13.967742655764496
85,-13.954970678943033
86,-13.942173340860467
87,-13.929350114983144
88,-13.916500483171236
89,-13.903623935843092
90,-13.890719972163103
91,-13.8777881002528
92,-13.864827837424045
93,-13.851838710434194
94,-13.838820255762055
95,-13.825772019904742
96,-13.812693559694637
97,-13.799584442636437
98,-13.78644424726342
