iteration,energy
0,13.055264184409197
1,-2.221982146252669
2,-8.211360608274717
3,-11.107754923596731
4,-12.659690037690872
5,-13.544901250859933
6,-14.070477341519998
7,-14.390390947828548
8,-14.587594349117332
9,-14.709234008475867
10,-14.783227989396455
11,-14.826646034596061
12,-14.850191633835957
13,-14.860711347566902
14,-14.862653527279107
15,-14.85894326378369
16,-14.851521135515856
17,-14.841682344363019
18,-14.830294201094683
19,-14.81793779079048
20,-14.80500146101565
21,-14.791743184593653
22,-14.778332524980911
23,-14.76487907124448
24,-14.751451805145273
25,-14.73809233874442
26,-14.724823979632585
27,-14.711657940178052
28,-14.69859758368676
29,-14.685641317386906
30,-14.67278455126498
31,-14.660021011959678
32,-14.647343612007539
33,-14.634745013478724
34,-14.62221798263504
35,-14.6097556027716
36,-14.597351391862844
37,-14.584999357290659
38,-14.572694009905547
39,-14.560430352664564
40,-14.548203854196018
41,-14.536010414232871
42,-14.523846325490618
43,-14.511708234931966
44,-14.499593106241417
45,-14.48749818457287
46,-14.475420964125412
47,-14.463359158768528
48,-14.451310675725027
49,-14.43927359218944
50,-14.427246134685232
51,-14.415226660926786
52,-14.40321364393944
53,-14.391205658193474
54,-14.379201367519688
55,-14.367199514591302
56,-14.355198911776636
57,-14.343198433186863
58,-14.331197007763048
59,-14.319193613265233
60,-14.307187271043329
61,-14.295177041485223
62,-14.283162020051112
63,-14.271141333815581
64,-14.259114138449451
65,-14.247079615582859
66,-14.235036970499285
67,-14.222985430117118
68,-14.210924241221512
69,-14.198852668914618
70,-14.186769995256629
71,-14.174675518073977
72,-14.162568549914443
73,-14.15044841713165
74,-14.138314459083961
75,-14.12616602743481
76,-14.11400248554325
77,-14.101823207935272
78,-14.089627579847424
79,-14.077414996835614
80,-14.065184864442958
81,-14.052936597921176
82,-14.040669622001023
83,-14.028383370707587
84,-14.016077287217062
85,-14.003750823751826
86,-13.991403441511302
87,-13.979034610636138
88,-13.966643810203811
89,-13.954230528253834
90,-13.941794261841013
91,-13.929334517115347
92,-13.916850809427556
93,-13.904342663458902
94,-13.891809613374644
95,-13.879251203000155
96,-13.866666986018942
97,-13.854056526192018
98,-13.841419397597956
99,-13.828755184893065
100,-13.816063483591265
101,-13.803343900363178
102,-13.790596053353944
103,-13.777819572519478
104,-13.765014099980629
105,-13.75217929039502
106,-13.739314811346084
107,-13.726420343749036
108,-13.713495582273186
109,-13.70054023578059
110,-13.687554027780218
111,-13.674536696897592
112,-13.661487997359234
113,-13.648407699491568
114,-13.63529559023382
115,-13.622151473664365
116,-13.608975171539981
117,-13.595766523847525
118,-13.582525389367229
119,-13.56925164624726
120,-13.555945192588517
121,-13.542605947039206
122,-13.529233849398196
123,-13.515828861226442
124,-13.502390966465551
125,-13.48892017206245
126,-13.475416508599322
127,-13.461880030927535
128,-13.448310818804625
129,-13.434708977533028
130,-13.421074638599276
131,-13.407407960312458
132,-13.393709128440449
133,-13.379978356842564
134,-13.366215888096932
135,-13.35242199412124
136,-13.338596976785041
137,-13.324741168511913
138,-13.310854932869823
139,-13.296938665147689
140,-13.282992792916389
141,-13.269017776572136
142,-13.255014109860355
143,-13.24098232037785
144,-13.226922970051326
145,-13.212836655589957
146,-13.19872400890994
147,-13.184585697528831
148,-13.170422424927345
149,-13.15623493087642
150,-13.142023991727328
151,-13.127790420662553
152,-13.113535067905133
153,-13.099258820884284
154,-13.084962604355134
155,-13.070647380470337
156,-13.056314148801443
157,-13.041963946308005
158,-13.027597847252414
159,-13.01321696305853
160,-12.998822442112282
161,-12.984415469502565
162,-12.969997266700819
163,-12.955569091177733
164,-12.941132235955937
165,-12.926688029097335
166,-12.912237833124127
167,-12.897783044372744
168,-12.883325092280035
169,-12.86886543860114
170,-12.854405576559133
171,-12.839947029926009
172,-12.82549135203564
173,-12.811040124728901
174,-12.796594957231786
175,-12.782157484967371
176,-12.767729368302984
177,-12.753312291233932
178,-12.738907960005468
179,-12.724518101675176
180,-12.710144462617812
181,-12.69578880697519
182,-12.681452915053914
183,-12.66713858167386
184,-12.65284761447067
185,-12.638581832155815
186,-12.624343062737756
187,-12.61013314170826
188,-12.59595391019782
189,-12.581807213104483
190,-12.567694897200617
191,-12.553618809221984
192,-12.539580793943934
193,-12.525582692249543
194,-12.511626339194422
195,-12.497713562073283
196,-12.483846178493064
197,-12.470025994457773
198,-12.45625480246986
199,-12.442534379653104
200,-12.42886648590193
201,-12.415252862061802
202,-12.401695228145563
203,-12.38819528159015
204,-12.374754695558027
205,-12.361375117287755
206,-12.348058166497534
207,-12.334805433845677
208,-12.32161847945151
209,-12.308498831480163
210,-12.295447984794222
211,-12.282467399675163
212,-12.269558500617066
213,-12.256722675194847
214,-12.243961273009035
215,-12.231275604708596
216,-12.218666941093408
217,-12.206136512297066
218,-12.193685507051175
219,-12.181315072031202
220,-12.169026311284187
221,-12.156820285738206
222,-12.144698012793011
223,-12.132660465991187
224,-12.120708574768887
225,-12.108843224284854
226,-12.097065255326186
227,-12.08537546428937
228,-12.07377460323438
229,-12.062263380009878
230,-12.050842458447326
231,-12.039512458621255
232,-12.02827395717348
233,-12.017127487698108
234,-12.006073541184898
235,-11.995112566517747
236,-11.984244971025394
237,-11.973471121081303
238,-11.962791342749547
239,-11.952205922473528
240,-11.94171510780443
241,-11.931319108166203
242,-11.921018095653881
243,-11.910812205862218
244,-11.900701538741455
245,-11.890686159477251
246,-11.880766099391709
247,-11.870941356862721
248,-11.86121189825868
249,-11.851577658885898
250,-11.842038543946057
251,-11.832594429501128
252,-11.823245163443278
253,-11.813990566467552
254,-11.804830433044952
255,-11.795764532393877
256,-11.78679260944792
257,-11.777914385818116
258,-11.769129560747913
259,-11.760437812059152
260,-11.751838797087593
261,-11.743332153606515
262,-11.734917500737172
263,-11.72659443984475
264,-11.718362555418924
265,-11.710221415937902
266,-11.702170574715186
267,-11.694209570728134
268,-11.68633792942778
269,-11.678555163529273
270,-11.670860773782382
271,-11.663254249721739
272,-11.655735070396357
273,-11.648302705078367
274,-11.640956613950507
275,-11.63369624877243
276,-11.626521053525828
277,-11.619430465038036
278,-11.61242391358464
279,-11.60550082347071
280,-11.598660613591223
281,-11.591902697970538
282,-11.585226486281401
283,-11.578631384343549
284,-11.57211679460238
285,-11.565682116587888
286,-11.559326747354277
287,-11.553050081900578
288,-11.546851513572857
289,-11.54073043444804
290,-11.534686235700217
291,-11.528718307949578
292,-11.522826041594548
293,-11.51700882712753
294,-11.511266055434795
295,-11.505597118080878
296,-11.500001407578042
297,-11.494478317641326
298,-11.489027243429428
299,-11.483647581772216
300,-11.47833873138502
301,-11.473100093070459
302,-11.467931069908012
303,-11.46283106743191
304,-11.457799493797896
305,-11.45283575993901
306,-11.447939279711155
307,-11.443109470028606
308,-11.438345750990088
309,-11.433647545995594
310,-11.429014281854663
311,-11.42444538888607
312,-11.419940301009815
313,-11.415498455831258
314,-11.411119294718196
315,-11.406802262870912
316,-11.40254680938572
317,-11.398352387312231
318,-11.39421845370469
319,-11.390144469667671
320,-11.386129900396412
321,-11.38217421521216
322,-11.378276887592595
323,-11.374437395197845
324,-11.370655219892114
325,-11.36692984776134
326,-11.36326076912702
327,-11.359647478556393
328,-11.356089474869322
329,-11.352586261141939
330,-11.349137344707337
331,-11.345742237153466
332,-11.342400454318353
333,-11.33911151628298
334,-11.335874947361791
335,-11.332690276091093
336,-11.329557035215428
337,-11.326474761672198
338,-11.323442996574501
339,-11.320461285192373
340,-11.317529176932613
341,-11.314646225317222
342,-11.311811987960613
